ID,DATE,TIME,BARCODE,ITEMS
1,21/2/2022,01:56,1,2
2,21/2/2022,01:56,2,1
3,21/2/2022,01:56,3,3
4,21/2/2022,01:56,4,1
5,21/02/2022,18:14:54,3,2
6,21/02/2022,18:14:56,2,2
7,21/02/2022,18:14:59,2,-2
8,21/02/2022,18:15:01,2,-2
9,21/02/2022,18:15:02,2,-2
10,21/02/2022,18:15:03,2,-0
11,21/02/2022,18:15:11,2,2
12,21/02/2022,18:15:12,2,2
13,21/02/2022,18:15:15,2,10
14,21/02/2022,18:15:23,2,10
15,21/02/2022,18:15:34,2,Επεξεργασία Στοιχείου ΤΜΧ: 11
16,21/02/2022,19:11:04,5,1
17,21/02/2022,19:15:00,5,Επεξεργασία Στοιχείου ΤΜΧ: 1
